new_tests_per_thousand,new_tests_smoothed,total_deaths_per_million,aged_65_older,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,human_development_index,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,weekly_hosp_admissions_per_million,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,handwashing_facilities,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.0,9.0,0.0,5.3439999999999985,0.0,0.0,0.0,0.003,2.32,0.7090000000000001,0.0,33.2,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.017,0.0,1.0,0.0,43.993,0.0,0.0,13.89,0.0,0.0,0.0,0.0
0.001,14.0,0.0,5.3439999999999985,0.0,0.0,0.0,0.004,2.32,0.7090000000000001,0.0,33.2,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.017,0.0,1.0,0.0,43.993,0.0,0.0,13.89,0.0,41.0,0.0,0.0
0.0,27.0,0.0,5.3439999999999985,0.0,0.0,0.0,0.0,2.32,0.7090000000000001,0.0,33.2,0.033,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,3.0,0.0,43.993,0.0,0.0,13.89,0.0,0.0,0.0,2.0
0.0,40.0,0.0,5.3439999999999985,0.0,0.001,0.0,0.0,2.32,0.7090000000000001,0.0,33.2,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,3.0,0.0,43.993,0.0,0.0,13.89,0.0,0.0,0.0,0.0
0.0,54.0,0.0,5.3439999999999985,0.0,0.001,0.0,0.0,2.32,0.7090000000000001,0.017,33.2,0.067,0.0,0.0,0.0,1.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.117,0.0,7.0,0.0185,43.993,0.0,0.0,13.89,0.0,0.0,0.0,4.0
0.0,67.0,0.0,5.3439999999999985,0.0,0.001,0.0,0.011,2.32,0.7090000000000001,0.031,33.2,0.1,0.0,0.0,0.0,1.857,1.0672089314194575,0.0,0.0,0.0,0.0,645.0,0.0,36.1,0.217,0.0,13.0,0.0277,43.993,0.0,0.0,13.89,0.0,0.0,0.0,6.0
0.003,94.0,0.0,5.3439999999999985,0.0,0.002,0.0,0.014,2.32,0.7090000000000001,0.038,33.2,0.067,0.0,0.0,0.0,2.286,1.0672089314194575,0.0,0.0,0.0,0.0,848.0,0.0,41.1,0.28300000000000003,0.0,17.0,0.0243,43.993,0.0,0.0,13.89,0.0,203.0,0.0,4.0
0.001,103.0,0.0,5.3439999999999985,0.0,0.002,0.0,0.015,2.32,0.7090000000000001,0.055,33.2,0.117,0.0,0.0,0.0,3.286,1.0672089314194575,0.0,0.0,0.0,0.0,924.0,0.0,31.3,0.4,0.0,24.0,0.0319,43.993,0.0,0.0,13.89,0.0,76.0,0.0,7.0
0.002,111.0,0.0,5.3439999999999985,0.0,0.002,0.0,0.017,2.32,0.7090000000000001,0.08800000000000001,33.2,0.233,0.0,0.0,0.0,5.2860000000000005,1.0672089314194575,0.0,0.0,0.0,0.0,1017.0,0.0,21.0,0.633,0.0,38.0,0.0476,43.993,0.0,0.0,13.89,0.0,93.0,0.0,14.0
0.008,162.0,0.0,5.3439999999999985,0.0,0.003,0.0,0.025,2.32,0.7090000000000001,0.114,33.2,0.217,0.0,0.0,0.0,6.857,1.0672089314194575,0.0,0.0,0.0,0.0,1476.0,0.0,23.6,0.8490000000000001,0.0,51.0,0.0423,43.993,0.0,0.0,19.44,0.0,459.0,0.0,13.0
