new_tests_per_thousand,new_tests_smoothed,total_boosters,hosp_patients_per_million,total_deaths_per_million,population_density,extreme_poverty,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,total_boosters_per_hundred,new_cases_smoothed_per_million,icu_patients_per_million,new_cases_per_million,hosp_patients,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,male_smokers,weekly_hosp_admissions_per_million,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.857,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,78.86,0.0,54225.446,12.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,78.86,0.0,54225.446,12.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,78.86,0.0,54225.446,12.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,78.86,0.0,54225.446,12.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,78.86,0.0,54225.446,12.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,78.86,0.0,54225.446,13.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,78.86,0.0,54225.446,13.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,78.86,0.0,54225.446,14.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,78.86,0.0,54225.446,16.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,78.86,0.0,54225.446,16.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,78.86,0.0,54225.446,16.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,78.86,0.0,54225.446,16.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,78.86,0.0,54225.446,16.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,78.86,0.0,54225.446,16.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.429,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,78.86,0.0,54225.446,17.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,78.86,0.0,54225.446,17.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.003,35.60800000000001,1.2,0.0,0.0,0.0,0.0,2.77,0.0,0.004,0.0,0.024,0.0,0.0,0.0,1.286,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,78.86,0.0,54225.446,25.0,0.0,0.0,0.0,5.56,1.0,0.0,0.0,0.0,8.0
