new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,total_deaths_per_million,aged_65_older,aged_70_older,extreme_poverty,people_fully_vaccinated,female_smokers,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,total_boosters_per_hundred,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.005,118.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.002,0.0,0.022,12.27,0.0,0.036000000000000004,40.9,0.019,0.0,0.0,1.857,1.079908256880735,0.0,0.0,6.8,0.0,1130.0,0.0,63.5,0.468,0.0,35938.374,24.0,0.0157,0.0,31.48,0.0,0.0,245.0,0.0,1.0
0.011,190.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.004,0.0,0.033,12.27,0.0,0.033,40.9,0.0,0.0,0.0,1.714,1.079908256880735,0.0,0.0,6.8,0.0,1701.0,0.0,110.9,0.468,0.0,35938.374,24.0,0.009000000000000001,0.0,31.48,0.0,0.0,571.0,0.0,0.0
0.012,273.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.005,0.0,0.046,12.27,0.0,0.028,40.9,0.019,0.0,0.0,1.429,1.079908256880735,0.0,0.0,6.8,0.0,2340.0,0.0,191.0,0.487,0.0,35938.374,25.0,0.0052,0.0,31.48,0.0,0.0,639.0,0.0,1.0
0.008,323.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.006,0.0,0.054000000000000006,12.27,0.0,0.033,40.9,0.039,0.0,0.0,1.714,1.079908256880735,0.0,0.0,6.8,0.0,2776.0,0.0,188.4,0.526,0.0,35938.374,27.0,0.0053,0.0,31.48,0.0,0.0,436.0,0.0,2.0
0.017,432.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.008,0.0,0.071,12.27,0.0,0.033,40.9,0.019,0.0,0.0,1.714,1.079908256880735,0.0,0.0,6.8,0.0,3629.0,0.0,252.0,0.546,0.0,35938.374,28.0,0.004,0.0,31.48,0.0,0.0,853.0,0.0,1.0
0.028,623.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.012,0.0,0.099,12.27,0.0,0.025,40.9,0.0,0.0,0.0,1.286,1.079908256880735,0.0,0.0,6.8,0.0,5074.0,0.0,484.4,0.546,0.0,35938.374,28.0,0.0021,0.0,31.48,0.0,0.0,1445.0,0.0,0.0
0.014,702.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.014,0.0,0.113,12.27,0.0,0.014,40.9,0.0,0.0,0.0,0.7140000000000001,1.079908256880735,0.0,0.0,6.8,0.0,5797.0,0.0,983.2,0.546,0.0,35938.374,28.0,0.001,0.0,31.48,0.0,0.0,723.0,0.0,0.0
0.021,818.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.016,0.0,0.134,12.27,0.0,0.011,40.9,0.0,0.0,0.0,0.5710000000000001,1.079908256880735,0.0,0.0,6.8,0.0,6854.0,0.0,1432.6,0.546,0.0,35938.374,28.0,0.0007,0.0,31.48,0.0,0.0,1057.0,0.0,0.0
0.013,831.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.016,0.0,0.147,12.27,0.0,0.011,40.9,0.0,0.0,0.0,0.5710000000000001,1.079908256880735,0.0,0.0,6.8,0.0,7519.0,0.0,1455.3,0.546,0.0,35938.374,28.0,0.0007,0.0,31.48,0.0,0.0,665.0,0.0,0.0
0.008,797.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.016,0.0,0.154,12.27,0.0,0.011,40.9,0.019,0.0,0.0,0.5710000000000001,1.079908256880735,0.0,0.0,6.8,0.0,7919.0,0.0,1395.8,0.565,0.0,35938.374,29.0,0.0007,0.0,31.48,0.0,0.0,400.0,0.0,1.0
