outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,vaccinated_with_outcome,fully_vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_vax_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
death,01 - JAN,202202,all_ages,Moderna,391,17828421,1122,22547063,5076,38365737.4,2.193127479,4.976257883,13.23055503,6.032734148,2.658735809,0.898275242,3.568493485,23.1268796,25.74587223,6.480852411,1
death,01 - JAN,202202,all_ages,Pfizer,567,22191870,1228,40324464,5076,38365737.4,2.554989733,3.045297763,13.23055503,5.178320234,4.344585017,1.220448663,3.820103827,23.1268796,18.9494899,6.053992417,1
death,01 - JAN,202203,12-17,all_types,0,664924,1,6986455,1,5890534,0,0.0143134,0.0169764,,1.186047818,,,,,,0
death,01 - JAN,202203,18-49,all_types,21,15548894,75,35615398,274,23000706.55,0.135057838,0.210583074,1.191267753,8.820426672,5.656996684,,,,,,1
death,01 - JAN,202203,50-64,all_types,102,12671934,295,14701630,813,6050424.55,0.804928435,2.006580223,13.4370736,16.69350096,6.696504555,,,,,,1
death,01 - JAN,202203,65+,all_types,794,15985726,1816,9976501,3295,2918440.3,4.966931123,18.2027747,112.9027721,22.73089142,6.202503406,,,,,,1
death,01 - JAN,202203,all_ages,all_types,917,44871478,2187,67279984,4383,37860105.4,2.043614431,3.250595303,11.57682989,5.664879694,3.561449154,0.979618515,3.260818687,20.33264215,20.75567361,6.235440883,1
death,01 - JAN,202203,all_ages,Janssen,50,2405073,248,6404768,4383,37860105.4,2.078938976,3.872115274,11.57682989,5.568624201,2.989794744,1.709394672,4.568090799,20.33264215,11.89464462,4.451015324,1
death,01 - JAN,202203,all_ages,Moderna,374,18821542,892,21674605,4383,37860105.4,1.987084799,4.115415252,11.57682989,5.826037168,2.813040528,0.866418655,2.966313706,20.33264215,23.46745656,6.85451512,1
death,01 - JAN,202203,all_ages,Pfizer,490,23607646,1044,39164106,4383,37860105.4,2.075598728,2.665706195,11.57682989,5.577585754,4.342875413,1.06021446,3.34823881,20.33264215,19.17785779,6.072637975,1
death,01 - JAN,202204,12-17,all_types,0,1016968,0,6706330,3,5812786,0,0,0.0516104,,,,,,,,0
death,01 - JAN,202204,18-49,all_types,17,16797753,45,34601421,191,22706886.55,0.101204012,0.130052462,0.841154509,8.311473925,6.467809174,,,,,,1
death,01 - JAN,202204,50-64,all_types,63,13311381,214,14133868,616,5976369.55,0.473279219,1.514093665,10.30726087,21.77839309,6.807545073,,,,,,1
death,01 - JAN,202204,65+,all_types,629,16342862,1194,9654016,2448,2888822.3,3.84877508,12.36790989,84.74041481,22.01750246,6.851635849,,,,,,1
death,01 - JAN,202204,all_ages,all_types,709,47468964,1453,65095635,3258,37384864.4,1.493607486,2.232100509,8.714756767,5.834703459,3.904285104,0.729906672,2.234520214,15.27531013,20.9277579,6.836058153,1
death,01 - JAN,202204,all_ages,Janssen,42,2566650,165,6275200,3258,37384864.4,1.636374262,2.629398266,8.714756767,5.325650108,3.31435404,1.345856191,3.155611687,15.27531013,11.34988287,4.840681188,1
death,01 - JAN,202204,all_ages,Moderna,270,19741366,629,20869753,3258,37384864.4,1.367686512,3.013931214,8.714756767,6.371896405,2.891491593,0.588152964,2.167458368,15.27531013,25.97166227,7.047567952,1
death,01 - JAN,202204,all_ages,Pfizer,397,25122600,657,37915281,3258,37384864.4,1.580250452,1.732810578,8.714756767,5.514794669,5.02926106,0.830689776,2.160246153,15.27531013,18.38870607,7.071097018,1
