new_tests_per_thousand,new_tests_smoothed,median_age,total_deaths_per_million,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.0,4.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,5.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,6.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,6.0,27.3,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,6.0,27.3,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,4.0,0.0,0.0
0.0,8.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
0.0,8.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,64.13,0.0,1.0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0
0.0,9.0,27.3,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.017,64.13,0.0,1.0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,1.0
0.001,14.0,27.3,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.017,64.13,0.0,1.0,0.0,0.0,0.0,13.89,0.0,41.0,0.0,0.0
0.0,27.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,64.13,0.0,3.0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0
0.0,40.0,27.3,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,64.13,0.0,3.0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,2.0
0.0,54.0,27.3,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.117,64.13,0.0,7.0,0.0185,0.0,0.0,13.89,0.0,0.0,0.0,0.0
0.0,67.0,27.3,0.0,0.0,0.0,0.001,0.0,0.011,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,645.0,0.0,0.0,36.1,0.217,64.13,0.0,13.0,0.0277,0.0,0.0,13.89,0.0,0.0,0.0,4.0
0.003,94.0,27.3,0.0,0.0,0.0,0.002,0.0,0.014,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,848.0,0.0,0.0,41.1,0.28300000000000003,64.13,0.0,17.0,0.0243,0.0,0.0,13.89,0.0,203.0,0.0,6.0
0.001,103.0,27.3,0.0,0.0,0.0,0.002,0.0,0.015,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,924.0,0.0,0.0,31.3,0.4,64.13,0.0,24.0,0.0319,0.0,0.0,13.89,0.0,76.0,0.0,4.0
0.002,111.0,27.3,0.0,0.0,0.0,0.002,0.0,0.017,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,1017.0,0.0,0.0,21.0,0.633,64.13,0.0,38.0,0.0476,0.0,0.0,13.89,0.0,93.0,0.0,7.0
0.008,162.0,27.3,0.0,0.0,0.0,0.003,0.0,0.025,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,1476.0,0.0,0.0,23.6,0.8490000000000001,64.13,0.0,51.0,0.0423,0.0,0.0,19.44,0.0,459.0,0.0,14.0
0.015,280.0,27.3,0.0,0.0,0.0,0.005,0.0,0.04,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,2405.0,0.0,0.0,33.2,1.033,64.13,0.0,62.0,0.0301,0.0,0.0,38.89,0.0,929.0,0.0,13.0
0.008,338.0,27.3,0.0,0.0,0.0,0.006,0.0,0.048,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,2911.0,0.0,0.0,43.0,1.033,64.13,0.0,62.0,0.0232,0.0,0.0,38.89,0.0,506.0,0.0,11.0
0.003,346.0,27.3,0.0,0.0,0.0,0.006,0.0,0.051,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.0,0.0,3070.0,0.0,0.0,23.5,1.932,64.13,0.0,116.0,0.0425,0.0,0.0,55.56,0.0,159.0,0.0,0.0
0.029,569.0,27.3,0.0,0.0,0.0,0.009000000000000001,0.0,0.08,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,4832.0,0.0,0.0,29.9,2.498,64.13,0.0,150.0,0.0334,0.0,0.0,55.56,0.0,1762.0,0.0,54.0
0.027000000000000003,788.0,27.3,0.0,0.0,0.0,0.013,0.0,0.107,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,6438.0,0.0,0.0,31.0,3.364,64.13,0.0,202.0,0.0323,0.0,0.0,55.56,0.0,1606.0,0.0,34.0
0.016,915.0,27.3,0.0,0.0,0.0,0.015,0.0,0.124,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,7425.0,0.0,0.0,31.7,3.997,64.13,0.0,240.0,0.0315,0.0,0.0,55.56,0.0,987.0,0.0,52.0
0.031,1120.0,27.3,0.0,0.0,0.0,0.019,0.0,0.155,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,9315.0,0.0,0.0,35.2,4.563,64.13,0.0,274.0,0.0284,0.0,0.0,55.56,0.0,1890.0,0.0,38.0
0.058,1487.0,27.3,0.0,0.0,0.0,0.025,0.0,0.213,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,12815.0,0.0,0.0,30.6,6.695,64.13,0.0,402.0,0.0327,0.0,0.0,55.56,0.0,3500.0,0.0,34.0
0.045,1803.0,27.3,0.0,0.0,0.0,0.03,0.0,0.259,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,15529.0,0.0,0.0,25.7,9.227,64.13,0.0,554.0,0.039,0.0,0.0,55.56,0.0,2714.0,0.0,128.0
0.0,2133.0,27.3,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,11.808,64.13,0.0,709.0,0.0397,0.0,0.0,55.56,0.0,0.0,0.0,152.0
0.0,2234.0,27.3,0.0,0.0,0.0,0.037000000000000005,0.0,0.341,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,20471.0,0.0,0.0,20.1,15.439,64.13,0.0,927.0,0.0497,0.0,0.0,87.96,0.0,0.0,0.0,155.0
0.134,3157.0,27.3,0.017,0.0,0.017,0.053,0.0,0.475,0.002,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,28537.0,0.0,0.14300000000000002,22.8,19.486,64.13,0.0,1170.0,0.0438,1.0,0.0,87.96,1.0,8066.0,0.0,218.0
0.057,3505.0,27.3,0.017,0.0,0.0,0.058,0.0,0.532,0.002,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,31963.0,0.0,0.14300000000000002,25.9,19.769,64.13,0.0,1187.0,0.0386,0.0,0.0,87.96,1.0,3426.0,0.0,243.0
0.06,3754.0,27.3,0.033,0.0,0.017,0.063,0.0,0.593,0.005,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,35593.0,0.0,0.28600000000000003,26.1,21.318,64.13,0.0,1280.0,0.0383,1.0,0.0,87.96,2.0,3630.0,0.0,17.0
