new_tests_per_thousand,new_tests_smoothed,median_age,total_boosters,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,human_development_index,total_boosters_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.117,0.0,31.6,0.0,1.54,8.152999999999999,104.914,0.0,0.27,0.0,0.0,0.29600000000000004,0.17,0.82,0.0,0.0,0.0,2.69,0.0,0.0,0.0,25156.0,0.0,14.429,0.0,108.381,77.69,0.0,25129.341,9217.0,0.0,23.0,75.93,0.0,131.0,9982.0,0.0,1704.0
0.136,0.0,31.6,0.0,1.975,8.152999999999999,104.914,0.0,0.435,0.0,0.0,0.431,0.22,0.82,0.0,0.0,0.0,2.53,0.0,0.0,0.0,36691.0,0.0,18.714,0.0,127.312,77.69,0.0,25129.341,10827.0,0.0,37.0,75.93,0.0,168.0,11535.0,0.0,1815.0
0.181,0.0,31.6,0.0,2.516,8.152999999999999,104.914,0.0,0.541,0.0,0.0,0.613,0.28600000000000003,0.82,0.0,0.0,0.0,2.38,0.0,0.0,0.0,52113.0,0.0,24.286,0.0,159.108,77.69,0.0,25129.341,13531.0,0.0,46.0,75.93,0.0,214.0,15422.0,0.0,1610.0
0.16899999999999998,0.0,31.6,0.0,3.257,8.152999999999999,104.914,0.0,0.741,0.0,0.0,0.782,0.366,0.82,0.0,0.0,0.0,2.1,0.0,0.0,0.0,66509.0,0.0,31.143,0.0,184.366,77.69,0.0,25129.341,15679.0,0.0,63.0,75.93,0.0,277.0,14396.0,0.0,2704.0
0.221,0.0,31.6,0.0,4.186,8.152999999999999,104.914,0.0,0.929,0.0,0.0,1.003,0.472,0.82,0.0,0.0,0.0,1.87,0.0,0.0,0.0,85266.0,0.0,40.143,0.0,213.246,77.69,0.0,25129.341,18135.0,0.0,79.0,75.93,0.0,356.0,18757.0,0.0,2148.0
0.19,13413.0,31.6,0.0,4.997,8.152999999999999,104.914,0.0,0.8109999999999999,0.158,0.0,1.193,0.5589999999999999,0.82,0.0,0.0,0.0,1.73,0.0,0.0,0.0,101426.0,0.0,47.57100000000001,6.2,246.006,77.69,0.0,25129.341,20921.0,0.1621,69.0,75.93,0.0,425.0,16160.0,0.0,2456.0
0.231,15131.0,31.6,0.0,5.891,8.152999999999999,104.914,0.0,0.894,0.17800000000000002,0.0,1.4240000000000002,0.66,0.82,0.0,0.0,0.0,1.7,0.0,0.0,0.0,121090.0,0.0,56.143,6.4,281.435,77.69,0.0,25129.341,23934.0,0.1561,76.0,75.93,0.0,501.0,19664.0,0.0,2786.0
0.236,16571.0,31.6,0.0,6.75,8.152999999999999,104.914,0.0,0.858,0.195,0.0,1.66,0.7440000000000001,0.82,0.0,0.0,0.0,1.69,0.0,0.0,0.0,141155.0,0.0,63.286,6.5,318.2990000000001,77.69,0.0,25129.341,27069.0,0.1539,73.0,75.93,0.0,574.0,20065.0,0.0,3013.0
0.252,17981.0,31.6,0.0,7.631,8.152999999999999,104.914,0.0,0.882,0.211,0.0,1.911,0.8079999999999999,0.82,0.0,0.0,0.0,1.76,0.0,0.0,0.0,162555.0,0.0,68.714,6.5,355.315,77.69,0.0,25129.341,30217.0,0.1541,75.0,75.93,0.0,649.0,21400.0,0.0,3135.0
0.235,18638.0,31.6,0.0,8.525,8.152999999999999,104.914,0.0,0.894,0.219,0.0,2.147,0.858,0.82,0.0,0.0,0.0,1.73,0.0,0.0,0.0,182578.0,0.0,73.0,6.3,401.081,77.69,0.0,25129.341,34109.0,0.1577,76.0,75.93,0.0,725.0,20023.0,0.0,3148.0
0.293,20138.0,31.6,0.0,9.548,8.152999999999999,104.914,0.0,1.023,0.237,0.0,2.44,0.899,0.82,0.0,0.0,0.0,1.66,0.0,0.0,0.0,207478.0,0.0,76.429,6.3,449.492,77.69,0.0,25129.341,38226.0,0.1599,87.0,75.93,0.0,812.0,24900.0,0.0,3892.0
0.336,21541.0,31.6,0.0,10.677,8.152999999999999,104.914,0.0,1.129,0.253,0.0,2.776,0.927,0.82,0.0,0.0,0.0,1.52,0.0,0.0,0.0,236056.0,0.0,78.857,6.2,497.185,77.69,0.0,25129.341,42282.0,0.1601,96.0,75.93,0.0,908.0,28578.0,0.0,4117.0
0.363,23642.0,31.6,0.0,11.829,8.152999999999999,104.914,0.0,1.152,0.278,0.0,3.139,0.976,0.82,0.0,0.0,0.0,1.44,0.0,0.0,0.0,266920.0,0.0,83.0,6.3,553.004,77.69,0.0,25129.341,47029.0,0.1578,98.0,75.93,0.0,1006.0,30864.0,0.0,4056.0
0.39,25571.0,31.6,0.0,12.946,8.152999999999999,104.914,0.0,1.117,0.301,0.0,3.529,1.008,0.82,0.0,0.0,0.0,1.42,0.0,0.0,0.0,300090.0,0.0,85.714,6.3,613.4209999999998,77.69,0.0,25129.341,52167.0,0.1577,95.0,77.78,0.0,1101.0,33170.0,0.0,4747.0
0.42,27808.0,31.6,0.0,14.087,8.152999999999999,104.914,0.0,1.141,0.327,0.0,3.949,1.048,0.82,0.0,0.0,0.0,1.37,0.0,0.0,0.0,335810.0,0.0,89.14299999999999,6.5,669.7339999999998,77.69,0.0,25129.341,56956.0,0.1535,97.0,77.78,0.0,1198.0,35720.0,0.0,5138.0
0.405,29673.0,31.6,0.0,15.239,8.152999999999999,104.914,0.0,1.152,0.349,0.0,4.354,1.087,0.82,0.0,0.0,0.0,1.35,0.0,0.0,0.0,370266.0,0.0,92.429,6.7,717.863,77.69,0.0,25129.341,61049.0,0.1484,98.0,75.93,0.0,1296.0,34456.0,0.0,4789.0
0.389,31537.0,31.6,0.0,16.498,8.152999999999999,104.914,0.0,1.258,0.371,0.0,4.743,1.139,0.82,0.0,0.0,0.0,1.28,0.0,0.0,0.0,403336.0,0.0,96.857,7.1,765.627,77.69,0.0,25129.341,65111.0,0.1404,107.0,75.93,0.0,1403.0,33070.0,0.0,4093.0
0.401,32850.0,31.6,0.0,17.85,8.152999999999999,104.914,0.0,1.352,0.386,0.0,5.144,1.186,0.82,0.0,0.0,0.0,1.21,0.0,0.0,0.0,437426.0,0.0,100.857,7.4,815.966,77.69,0.0,25129.341,69392.0,0.1355,115.0,75.93,0.0,1518.0,34090.0,0.0,4062.0
