median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_70_older,extreme_poverty,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,total_boosters_per_hundred,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,new_cases
43.4,0.011,0.0,190.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.004,0.0,0.033,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,1701.0,0.0,0.0,110.9,0.468,0.0,24.0,0.009000000000000001,0.0,0.0,31.48,0.0,0.0,571.0,1.0
43.4,0.012,0.0,273.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.005,0.0,0.046,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,2340.0,0.0,0.0,191.0,0.487,0.0,25.0,0.0052,0.0,0.0,31.48,0.0,0.0,639.0,0.0
43.4,0.008,0.0,323.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.006,0.0,0.054000000000000006,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,2776.0,0.0,0.0,188.4,0.526,0.0,27.0,0.0053,0.0,0.0,31.48,0.0,0.0,436.0,1.0
43.4,0.017,0.0,432.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.008,0.0,0.071,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,3629.0,0.0,0.0,252.0,0.546,0.0,28.0,0.004,0.0,0.0,31.48,0.0,0.0,853.0,2.0
43.4,0.028,0.0,623.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.012,0.0,0.099,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,5074.0,0.0,0.0,484.4,0.546,0.0,28.0,0.0021,0.0,0.0,31.48,0.0,0.0,1445.0,1.0
43.4,0.014,0.0,702.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.014,0.0,0.113,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,5797.0,0.0,0.0,983.2,0.546,0.0,28.0,0.001,0.0,0.0,31.48,0.0,0.0,723.0,0.0
43.4,0.021,0.0,818.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.016,0.0,0.134,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,6854.0,0.0,0.0,1432.6,0.546,0.0,28.0,0.0007,0.0,0.0,31.48,0.0,0.0,1057.0,0.0
43.4,0.013,0.0,831.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.016,0.0,0.147,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,7519.0,0.0,0.0,1455.3,0.546,0.0,28.0,0.0007,0.0,0.0,31.48,0.0,0.0,665.0,0.0
43.4,0.008,0.0,797.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.016,0.0,0.154,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,7919.0,0.0,0.0,1395.8,0.565,0.0,29.0,0.0007,0.0,0.0,31.48,0.0,0.0,400.0,0.0
43.4,0.005,0.0,771.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.015,0.0,0.159,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,8171.0,0.0,0.0,1797.2,0.585,0.0,30.0,0.0006,0.0,0.0,31.48,0.0,0.0,252.0,1.0
