new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,hosp_patients_per_million,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,total_boosters_per_hundred,icu_patients_per_million,hosp_patients,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.0,11.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,38.5,0.236,0.0,9.0,0.026,0.0,0.0,2.78,0.0,0.0,0.0,0.0,1.0
0.0,13.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,45.5,0.236,0.0,9.0,0.022,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,212.0,0.0,0.0,45.5,0.263,0.0,10.0,0.022,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,230.0,0.0,0.0,24.5,0.315,0.0,12.0,0.0408,0.0,0.0,2.78,0.0,18.0,0.0,0.0,1.0
0.002,21.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.001,0.0,0.008,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,292.0,0.0,0.0,36.8,0.315,0.0,12.0,0.0272,0.0,0.0,2.78,0.0,62.0,0.0,0.0,2.0
0.002,31.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.001,0.0,0.01,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,369.0,0.0,0.0,36.2,0.368,0.0,14.0,0.0276,0.0,0.0,2.78,0.0,77.0,0.0,0.0,0.0
0.0,39.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,45.5,0.394,0.0,15.0,0.022,0.0,0.0,2.78,0.0,0.0,0.0,0.0,2.0
0.0,47.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.001,0.0,0.013,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,510.0,0.0,0.0,27.4,0.552,0.0,21.0,0.0365,0.0,0.0,2.78,0.0,0.0,0.0,0.0,1.0
0.003,63.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.002,0.0,0.017,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,635.0,0.0,0.0,25.9,0.6829999999999999,0.0,26.0,0.0386,0.0,0.0,2.78,0.0,125.0,0.0,0.0,6.0
0.0,67.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,21.3,0.841,0.0,32.0,0.0469,0.0,0.0,2.78,0.0,0.0,0.0,0.0,5.0
0.0,72.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.002,0.0,0.019,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,733.0,0.0,0.0,20.2,0.972,0.0,37.0,0.0496,0.0,0.0,2.78,0.0,0.0,0.0,0.0,6.0
0.0,89.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.0,20.8,1.103,0.0,42.0,0.0482,0.0,0.0,2.78,0.0,0.0,0.0,0.0,5.0
