new_tests_per_thousand,new_tests_smoothed,median_age,total_boosters,cardiovasc_death_rate,hosp_patients_per_million,total_deaths_per_million,aged_70_older,female_smokers,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,human_development_index,total_boosters_per_hundred,icu_patients_per_million,hosp_patients,weekly_hosp_admissions_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.0,0.0,38.3,0.0,151.089,0.0,0.0,9.732,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,17.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
0.0,0.0,38.3,0.0,151.089,0.0,0.0,9.732,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,17.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,1.0
0.0,0.0,38.3,0.0,151.089,0.0,0.003,9.732,19.1,0.0,0.003,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.0,0.075,0.0,25.0,0.0,1.0,0.0,5.56,1.0,0.0,0.0,0.0,0.0
0.001,0.0,38.3,0.0,151.089,0.0,0.003,9.732,19.1,0.0,0.0,0.0,0.0,0.001,0.0,0.926,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,348.0,0.0,0.14300000000000002,0.0,0.096,0.0,32.0,0.0,0.0,0.0,8.33,1.0,348.0,0.0,0.0,8.0
0.002,0.0,38.3,0.0,151.089,0.0,0.018000000000000002,9.732,19.1,0.0,0.015,0.0,0.0,0.003,0.003,0.926,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,861.0,0.0,0.857,0.0,0.165,0.0,55.0,0.0,5.0,0.0,11.11,6.0,513.0,0.0,0.0,7.0
0.002,0.0,38.3,0.0,151.089,0.0,0.021,9.732,19.1,0.0,0.003,0.0,0.0,0.004,0.003,0.926,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,1482.0,0.0,1.0,0.0,0.222,0.0,74.0,0.0,1.0,0.0,11.11,7.0,621.0,0.0,0.0,23.0
0.003,0.0,38.3,0.0,151.089,0.0,0.033,9.732,19.1,0.0,0.012,0.0,0.0,0.006999999999999999,0.005,0.926,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,2369.0,0.0,1.571,0.0,0.321,0.0,107.0,0.0,4.0,0.0,11.11,11.0,887.0,0.0,0.0,19.0
0.004,0.0,38.3,0.0,151.089,0.0,0.036000000000000004,9.732,19.1,0.0,0.003,0.0,0.0,0.011,0.005,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,3570.0,0.0,1.714,0.0,0.5529999999999999,0.0,184.0,0.0,1.0,0.0,20.37,12.0,1201.0,0.0,0.0,33.0
0.005,0.0,38.3,0.0,151.089,0.0,0.042,9.732,19.1,0.0,0.006,0.0,0.0,0.015,0.006,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,5092.0,0.0,2.0,0.0,0.7120000000000001,0.0,237.0,0.0,2.0,0.0,20.37,14.0,1522.0,0.0,0.0,77.0
0.005,0.0,38.3,0.0,151.089,0.0,0.051,9.732,19.1,0.0,0.009000000000000001,0.0,0.0,0.021,0.006999999999999999,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,6863.0,0.0,2.286,0.0,1.211,0.0,403.0,0.0,3.0,0.0,20.37,17.0,1771.0,0.0,0.0,53.0
