new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,hosp_patients_per_million,people_fully_vaccinated,new_cases,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,hosp_patients,total_boosters,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,total_boosters_per_hundred,new_cases_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.184,0.008,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,21.0,0.0,0.28600000000000003,0.0,0.0,0.0477,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.184,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.184,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.184,0.0,6.0,0.0,0.0,0.0,109.0,0.0,0.003,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.21,0.004,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,49.0,0.0,0.14300000000000002,0.0,0.0,0.0204,0.0,8.0,0.0,0.026,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.21,0.004,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,49.0,0.0,0.14300000000000002,0.0,0.0,0.0204,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.21,0.004,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,55.9,0.0,0.14300000000000002,0.0,0.0,0.0179,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.21,0.004,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,62.9,0.0,0.14300000000000002,0.0,0.0,0.0159,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.236,0.008,10.0,0.0,0.0,0.0,166.0,0.0,0.004,0.0,2.78,0.0,35.0,0.0,0.28600000000000003,0.0,0.0,0.0286,0.0,9.0,0.0,0.026,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.236,0.008,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,38.5,0.0,0.28600000000000003,0.0,0.0,0.026,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.236,0.008,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,45.5,0.0,0.28600000000000003,0.0,0.0,0.022,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.263,0.008,13.0,0.0,0.0,0.0,212.0,0.0,0.006,0.0,2.78,0.0,45.5,0.0,0.28600000000000003,0.0,0.0,0.022,0.0,10.0,0.0,0.026,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.315,0.015,14.0,0.0,0.0,0.0,230.0,0.0,0.006,0.0,2.78,0.0,24.5,0.0,0.5710000000000001,0.0,0.0,0.0408,0.0,12.0,0.0,0.053,0.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.315,0.015,21.0,0.0,0.0,0.0,292.0,0.0,0.008,0.001,2.78,0.002,36.8,0.0,0.5710000000000001,0.0,0.0,0.0272,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.368,0.023,31.0,0.0,0.0,0.0,369.0,0.0,0.01,0.001,2.78,0.002,36.2,0.0,0.857,0.0,0.0,0.0276,0.0,14.0,0.0,0.053,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.394,0.023,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.78,0.0,45.5,0.0,0.857,0.0,0.0,0.022,0.0,15.0,0.0,0.026,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.552,0.045,47.0,0.0,0.0,0.0,510.0,0.0,0.013,0.001,2.78,0.0,27.4,0.0,1.714,0.0,0.0,0.0365,0.0,21.0,0.0,0.158,0.0,0.0,0.0,0.0
125.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.6829999999999999,0.064,63.0,0.0,0.0,0.0,635.0,0.0,0.017,0.002,2.78,0.003,25.9,0.0,2.4290000000000003,0.0,0.0,0.0386,0.0,26.0,0.0,0.131,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.841,0.083,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,2.78,0.0,21.3,0.0,3.143,0.0,0.0,0.0469,0.0,32.0,0.0,0.158,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,0.972,0.094,72.0,0.0,0.0,0.0,733.0,0.0,0.019,0.002,2.78,0.0,20.2,0.0,3.571,0.0,0.0,0.0496,0.0,37.0,0.0,0.131,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,1.103,0.113,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,2.78,0.0,20.8,0.0,4.2860000000000005,0.0,0.0,0.0482,0.0,42.0,0.0,0.131,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,1.208,0.12,104.0,0.0,0.0,0.0,1099.0,0.0,0.029,0.003,2.78,0.0,22.8,0.0,4.5710000000000015,0.0,0.0,0.044,0.0,46.0,0.0,0.105,0.0,0.0,0.0,0.0
296.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,1.5759999999999998,0.16899999999999998,136.0,0.0,0.0,0.0,1395.0,0.0,0.037000000000000005,0.004,2.78,0.008,21.2,0.0,6.4289999999999985,0.0,0.0,0.0473,0.0,60.0,0.0,0.368,0.0,0.0,0.0,0.0
372.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,1.681,0.161,180.0,0.0,0.0,0.0,1767.0,0.0,0.046,0.005,2.78,0.01,29.3,0.0,6.143,0.0,0.0,0.0341,0.0,64.0,0.0,0.105,0.0,0.0,0.0,0.0
932.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0773974763406935,0.0,0.0,0.0,1.944,0.18,295.0,0.0,0.0,0.0,2699.0,0.0,0.071,0.008,2.78,0.024,43.0,0.0,6.857,0.0,0.0,0.0232,0.0,74.0,0.0,0.263,0.0,0.0,0.0,0.0
832.0,0.0,0.026,0.105,0.0,14.0,0.026,0.0,1.0773974763406935,4.0,0.0,0.0,2.312,0.21,407.0,0.0,0.0,0.0,3531.0,1.0,0.093,0.011,2.78,0.022,50.9,0.0,8.0,1.0,0.0,0.0197,0.0,88.0,0.0,0.368,0.0,0.0,0.14300000000000002,0.004
0.0,0.0,0.0,0.131,0.0,4.0,0.026,0.0,1.0773974763406935,5.0,0.0,0.0,2.417,0.206,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,2.78,0.0,62.9,0.0,7.857,1.0,0.0,0.0159,0.0,92.0,0.0,0.105,0.0,0.0,0.14300000000000002,0.004
0.0,0.0,0.0,0.131,0.0,35.0,0.026,0.0,1.0773974763406935,5.0,0.0,0.0,3.3360000000000003,0.319,561.0,0.0,0.0,0.0,4846.0,0.0,0.127,0.015,13.89,0.0,46.2,0.0,12.143,1.0,0.0,0.0216,0.0,127.0,0.0,0.919,0.0,0.0,0.14300000000000002,0.004
1893.0,0.0,0.0,0.131,0.0,14.0,0.026,0.0,2.53,5.0,0.0,0.0,3.704,0.35700000000000004,806.0,0.0,0.0,0.0,6739.0,0.0,0.177,0.021,22.22,0.05,59.4,0.0,13.571,1.0,0.0,0.0168,0.0,141.0,0.0,0.368,0.0,0.0,0.14300000000000002,0.004
3150.0,0.0,0.0,0.184,0.0,72.0,0.026,0.0,2.56,7.0,0.0,0.0,5.595,0.574,1213.0,0.0,0.0,0.0,9889.0,0.0,0.26,0.032,22.22,0.083,55.5,1.0,21.857,1.0,0.0,0.018000000000000002,0.0,213.0,0.0,1.891,0.0,0.0,0.14300000000000002,0.004
