new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,new_cases_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0337212863705978,0.0,0.214,0.006,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,19.44,0.0,0.0,0.0,0.7140000000000001,0.0,0.0,0.0,0.0,27.0,0.008,0.0,0.0,0.0,0.0
10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0337212863705978,0.0,0.222,0.006,10.0,0.0,0.0,0.0,72.0,0.0,0.001,0.0,19.44,0.0,14.0,0.0,0.7140000000000001,0.0,0.0,0.0714,0.0,28.0,0.008,0.0,0.0,0.0,0.0
16.0,0.0,0.008,5.0,0.0,0.008,0.0,1.0337212863705978,0.0,0.262,0.011,9.0,0.0,0.0,0.0,88.0,1.0,0.001,0.0,19.44,0.0,6.3,0.0,1.429,1.0,0.0,0.1588,0.0,33.0,0.04,0.0,0.0,0.14300000000000002,0.001
43.0,0.0,0.0,10.0,0.0,0.008,0.0,1.0337212863705978,0.0,0.341,0.023,14.0,0.0,0.0,0.0,131.0,0.0,0.001,0.0,19.44,0.0,4.9,0.0,2.857,1.0,0.0,0.2041,0.0,43.0,0.079,0.0,0.0,0.14300000000000002,0.001
86.0,0.0,0.0,11.0,0.0,0.008,0.0,1.0337212863705978,0.0,0.428,0.034,26.0,0.0,0.0,0.0,217.0,0.0,0.002,0.0,19.44,0.001,6.1,0.0,4.2860000000000005,1.0,0.0,0.1648,0.0,54.0,0.087,0.0,0.0,0.14300000000000002,0.001
65.0,0.0,0.0,6.0,0.0,0.008,0.0,1.0337212863705978,0.0,0.476,0.041,34.0,0.0,0.0,0.0,282.0,0.0,0.002,0.0,19.44,0.001,6.6,0.0,5.143,1.0,0.0,0.1513,0.0,60.0,0.048,0.0,0.0,0.14300000000000002,0.001
113.0,0.0,0.0,7.0,0.0,0.008,0.0,1.0337212863705978,0.0,0.532,0.046,48.0,0.0,0.0,0.0,395.0,0.0,0.003,0.0,19.44,0.001,8.2,0.0,5.857,1.0,0.0,0.122,0.0,67.0,0.056,0.0,0.0,0.14300000000000002,0.001
9.0,0.0,0.008,12.0,0.0,0.016,0.0,1.0337212863705978,0.0,0.627,0.059,49.0,0.0,0.0,0.0,404.0,1.0,0.003,0.0,19.44,0.0,6.6,0.0,7.4289999999999985,2.0,0.0,0.1516,0.0,79.0,0.095,0.0,0.0,0.28600000000000003,0.002
71.0,0.0,0.0,6.0,0.0,0.016,0.0,1.0337212863705978,0.0,0.674,0.065,58.0,0.0,0.0,0.0,475.0,0.0,0.004,0.0,19.44,0.001,7.1,0.0,8.142999999999999,2.0,0.0,0.1404,0.0,85.0,0.048,0.0,0.0,0.28600000000000003,0.002
90.0,0.0,0.0,10.0,0.0,0.016,0.0,1.0337212863705978,0.0,0.754,0.07,68.0,0.0,0.0,0.0,565.0,0.0,0.004,0.001,25.0,0.001,7.7,0.0,8.857000000000003,2.0,0.0,0.1302,0.0,95.0,0.079,0.0,0.0,0.14300000000000002,0.001
85.0,0.0,0.0,17.0,0.0,0.016,0.0,1.0337212863705978,0.0,0.889,0.078,74.0,0.0,0.0,0.0,650.0,0.0,0.005,0.001,25.0,0.001,7.5,0.0,9.857,2.0,0.0,0.1332,0.0,112.0,0.135,0.0,0.0,0.14300000000000002,0.001
96.0,0.0,0.0,25.0,0.0,0.016,0.0,1.24,0.0,1.087,0.094,76.0,0.0,0.0,0.0,746.0,0.0,0.006,0.001,25.0,0.001,6.4,0.0,11.857,2.0,0.0,0.156,0.0,137.0,0.198,0.0,0.0,0.14300000000000002,0.001
39.0,0.0,0.0,12.0,0.0,0.016,0.0,1.15,0.0,1.182,0.101,72.0,0.0,0.0,0.0,785.0,0.0,0.006,0.001,25.0,0.0,5.7,0.0,12.714,2.0,0.0,0.1766,0.0,149.0,0.095,0.0,0.0,0.14300000000000002,0.001
104.0,0.0,0.0,11.0,0.0,0.016,0.0,1.09,0.0,1.269,0.105,71.0,0.0,0.0,0.0,889.0,0.0,0.006999999999999999,0.001,25.0,0.001,5.3,0.0,13.286,2.0,0.0,0.1871,0.0,160.0,0.087,0.0,0.0,0.14300000000000002,0.001
44.0,0.0,0.008,13.0,0.0,0.024,0.0,1.04,0.0,1.372,0.107,76.0,0.0,0.0,0.0,933.0,1.0,0.006999999999999999,0.001,34.26,0.0,5.7,0.0,13.429,3.0,0.0,0.1767,0.0,173.0,0.103,0.0,0.0,0.14300000000000002,0.001
168.0,0.0,0.0,19.0,0.0,0.024,0.0,1.05,0.0,1.523,0.121,89.0,0.0,0.0,0.0,1101.0,0.0,0.009000000000000001,0.001,34.26,0.001,5.8,0.0,15.286,3.0,0.0,0.1718,0.0,192.0,0.151,0.0,0.0,0.14300000000000002,0.001
151.0,0.0,0.008,26.0,0.0,0.032,0.0,1.08,0.0,1.729,0.139,98.0,0.0,0.0,0.0,1252.0,1.0,0.01,0.001,34.26,0.001,5.6,0.0,17.570999999999998,4.0,0.0,0.1793,0.0,218.0,0.206,0.0,0.0,0.28600000000000003,0.002
