new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,total_boosters,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,total_boosters_per_hundred,new_cases_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
639.0,0.0,0.0,1.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.487,0.028,273.0,0.0,0.0,0.0,2340.0,0.0,0.046,0.005,31.48,0.012,191.0,0.0,1.429,0.0,0.0,0.0052,0.0,25.0,0.0,0.019,0.0,0.0,0.0,0.0
436.0,0.0,0.0,2.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.526,0.033,323.0,0.0,0.0,0.0,2776.0,0.0,0.054000000000000006,0.006,31.48,0.008,188.4,0.0,1.714,0.0,0.0,0.0053,0.0,27.0,0.0,0.039,0.0,0.0,0.0,0.0
853.0,0.0,0.0,1.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.546,0.033,432.0,0.0,0.0,0.0,3629.0,0.0,0.071,0.008,31.48,0.017,252.0,0.0,1.714,0.0,0.0,0.004,0.0,28.0,0.0,0.019,0.0,0.0,0.0,0.0
1445.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.546,0.025,623.0,0.0,0.0,0.0,5074.0,0.0,0.099,0.012,31.48,0.028,484.4,0.0,1.286,0.0,0.0,0.0021,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
723.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.546,0.014,702.0,0.0,0.0,0.0,5797.0,0.0,0.113,0.014,31.48,0.014,983.2,0.0,0.7140000000000001,0.0,0.0,0.001,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
1057.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.546,0.011,818.0,0.0,0.0,0.0,6854.0,0.0,0.134,0.016,31.48,0.021,1432.6,0.0,0.5710000000000001,0.0,0.0,0.0007,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
665.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.546,0.011,831.0,0.0,0.0,0.0,7519.0,0.0,0.147,0.016,31.48,0.013,1455.3,0.0,0.5710000000000001,0.0,0.0,0.0007,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,0.0,0.0,1.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.565,0.011,797.0,0.0,0.0,0.0,7919.0,0.0,0.154,0.016,31.48,0.008,1395.8,0.0,0.5710000000000001,0.0,0.0,0.0007,0.0,29.0,0.0,0.019,0.0,0.0,0.0,0.0
252.0,0.0,0.0,1.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.585,0.008,771.0,0.0,0.0,0.0,8171.0,0.0,0.159,0.015,31.48,0.005,1797.2,0.0,0.429,0.0,0.0,0.0006,0.0,30.0,0.0,0.019,0.0,0.0,0.0,0.0
1094.0,0.0,0.0,1.0,0.0,0.0,0.0,1.079908256880735,0.0,0.0,0.604,0.008,805.0,0.0,0.0,0.0,9265.0,0.0,0.181,0.016,31.48,0.021,1876.5,0.0,0.429,0.0,0.0,0.0005,0.0,31.0,0.0,0.019,0.0,0.0,0.0,0.0
