new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,new_cases_per_million,weekly_hosp_admissions_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.017,0.0,14.0,0.0,0.0,0.0,241.0,0.0,0.004,0.0,13.89,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.05,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.033,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.05,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.117,0.017,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.89,0.0,54.0,0.0,1.0,0.0,0.0,0.0185,0.0,7.0,0.067,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.217,0.031,67.0,0.0,0.0,0.0,645.0,0.0,0.011,0.001,13.89,0.0,36.1,0.0,1.857,0.0,0.0,0.0277,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0
203.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.28300000000000003,0.038,94.0,0.0,0.0,0.0,848.0,0.0,0.014,0.002,13.89,0.003,41.1,0.0,2.286,0.0,0.0,0.0243,0.0,17.0,0.067,0.0,0.0,0.0,0.0,0.0
76.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.4,0.055,103.0,0.0,0.0,0.0,924.0,0.0,0.015,0.002,13.89,0.001,31.3,0.0,3.286,0.0,0.0,0.0319,0.0,24.0,0.117,0.0,0.0,0.0,0.0,0.0
93.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.633,0.08800000000000001,111.0,0.0,0.0,0.0,1017.0,0.0,0.017,0.002,13.89,0.002,21.0,0.0,5.2860000000000005,0.0,0.0,0.0476,0.0,38.0,0.233,0.0,0.0,0.0,0.0,0.0
459.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,0.8490000000000001,0.114,162.0,0.0,0.0,0.0,1476.0,0.0,0.025,0.003,19.44,0.008,23.6,0.0,6.857,0.0,0.0,0.0423,0.0,51.0,0.217,0.0,0.0,0.0,0.0,0.0
929.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,1.033,0.14,280.0,0.0,0.0,0.0,2405.0,0.0,0.04,0.005,38.89,0.015,33.2,0.0,8.429,0.0,0.0,0.0301,0.0,62.0,0.183,0.0,0.0,0.0,0.0,0.0
