new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,hosp_patients_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,hosp_patients,weekly_hosp_admissions,total_boosters,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,total_boosters_per_hundred,new_cases_per_million,weekly_hosp_admissions_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.036000000000000004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.5710000000000001,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.036000000000000004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.5710000000000001,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.039,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,13.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.039,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,14.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.048,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,16.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.048,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.048,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.048,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.048,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.048,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.051,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.429,0.0,0.0,0.0,0.0,17.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.003,0.0,8.0,0.0,0.003,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.075,0.004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.56,0.0,0.0,0.0,1.286,1.0,0.0,0.0,0.0,25.0,0.0,0.024,0.0,0.0,0.0,0.14300000000000002,0.0
348.0,0.0,0.0,0.0,7.0,0.0,0.003,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.096,0.006999999999999999,0.0,0.0,0.0,0.0,348.0,0.0,0.001,0.0,8.33,0.001,0.0,0.0,2.286,1.0,0.0,0.0,0.0,32.0,0.0,0.021,0.0,0.0,0.0,0.14300000000000002,0.0
513.0,0.0,0.015,0.0,23.0,0.0,0.018000000000000002,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.165,0.017,0.0,0.0,0.0,0.0,861.0,5.0,0.003,0.0,11.11,0.002,0.0,0.0,5.5710000000000015,6.0,0.0,0.0,0.0,55.0,0.0,0.069,0.0,0.0,0.0,0.857,0.003
621.0,0.0,0.003,0.0,19.0,0.0,0.021,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.222,0.025,0.0,0.0,0.0,0.0,1482.0,1.0,0.004,0.0,11.11,0.002,0.0,0.0,8.286,7.0,0.0,0.0,0.0,74.0,0.0,0.057,0.0,0.0,0.0,1.0,0.003
887.0,0.0,0.012,0.0,33.0,0.0,0.033,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,0.321,0.039,0.0,0.0,0.0,0.0,2369.0,4.0,0.006999999999999999,0.0,11.11,0.003,0.0,0.0,13.0,11.0,0.0,0.0,0.0,107.0,0.0,0.099,0.0,0.0,0.0,1.571,0.005
1201.0,0.0,0.003,0.0,77.0,0.0,0.036000000000000004,0.0,3.61,0.0,0.0,0.0,0.0,0.5529999999999999,0.07200000000000001,0.0,0.0,0.0,0.0,3570.0,1.0,0.011,0.0,20.37,0.004,0.0,0.0,23.857,12.0,0.0,0.0,0.0,184.0,0.0,0.231,0.0,0.0,0.0,1.714,0.005
1522.0,0.0,0.006,0.0,53.0,0.0,0.042,0.0,3.55,0.0,0.0,0.0,0.0,0.7120000000000001,0.094,0.0,0.0,0.0,0.0,5092.0,2.0,0.015,0.0,20.37,0.005,0.0,0.0,31.429,14.0,0.0,0.0,0.0,237.0,0.0,0.159,0.0,0.0,0.0,2.0,0.006
1771.0,0.0,0.009000000000000001,0.0,166.0,0.0,0.051,0.0,3.57,0.0,0.0,0.0,0.0,1.211,0.162,0.0,0.0,0.0,0.0,6863.0,3.0,0.021,0.0,20.37,0.005,0.0,0.0,54.0,17.0,0.0,0.0,0.0,403.0,0.0,0.499,0.0,0.0,0.0,2.286,0.006999999999999999
1637.0,0.0,0.012,0.0,116.0,0.0,0.063,0.0,3.46,0.0,0.0,0.0,0.0,1.5590000000000002,0.209,1165.0,0.0,0.0,0.0,8500.0,4.0,0.026,0.003,20.37,0.005,16.7,0.0,69.571,21.0,0.0,0.0597,0.0,519.0,0.0,0.348,0.0,0.0,0.0,2.857,0.009000000000000001
2397.0,0.0,0.003,0.0,75.0,0.0,0.066,0.0,3.33,0.0,0.0,0.0,0.0,1.784,0.231,1434.0,0.0,0.0,0.0,10897.0,1.0,0.033,0.004,20.37,0.006999999999999999,18.6,0.0,77.0,22.0,0.0,0.0537,0.0,594.0,0.0,0.225,0.0,0.0,0.0,2.286,0.006999999999999999
3466.0,0.0,0.018000000000000002,0.0,188.0,0.0,0.084,0.0,3.36,0.0,0.0,0.0,0.0,2.349,0.304,1840.0,0.0,0.0,0.0,14363.0,6.0,0.043,0.006,20.37,0.01,18.2,0.0,101.143,28.0,0.0,0.055,0.0,782.0,0.0,0.565,0.0,0.0,0.0,3.0,0.009000000000000001
4825.0,0.0,0.015,0.0,365.0,0.0,0.099,0.0,3.42,0.0,0.0,0.0,0.0,3.445,0.446,2403.0,0.0,0.0,0.0,19188.0,5.0,0.058,0.006999999999999999,21.76,0.014,16.2,0.0,148.571,33.0,0.0,0.0618,0.0,1147.0,0.0,1.096,0.0,0.0,0.0,3.143,0.009000000000000001
8870.0,0.0,0.03,0.0,439.0,0.0,0.129,0.0,3.4,0.0,0.0,0.0,0.0,4.7639999999999985,0.602,3498.0,0.0,0.0,0.0,28058.0,10.0,0.084,0.011,30.09,0.027000000000000003,17.5,0.0,200.286,43.0,0.0,0.0573,0.0,1586.0,0.0,1.319,0.0,0.0,0.0,4.4289999999999985,0.013
11712.0,0.0,0.024,0.0,633.0,0.0,0.153,0.0,3.42,0.0,0.0,0.0,0.0,6.665,0.85,4954.0,0.0,0.0,0.0,39770.0,8.0,0.119,0.015,30.09,0.035,17.5,0.0,283.143,51.0,0.0,0.0572,0.0,2219.0,0.0,1.901,0.0,0.0,0.0,5.2860000000000005,0.016
13011.0,0.0,0.021,0.0,759.0,0.0,0.174,0.0,3.38,0.0,0.0,0.0,0.0,8.945,1.105,6560.0,0.0,0.0,0.0,52781.0,7.0,0.159,0.02,35.65,0.039,17.8,0.0,367.857,58.0,0.0,0.0561,0.0,2978.0,0.0,2.28,0.0,0.0,0.0,5.857,0.018000000000000002
14432.0,0.0,0.036000000000000004,0.0,234.0,0.0,0.21,0.0,3.41,0.0,0.0,0.0,0.0,9.648,1.156,8388.0,0.0,0.0,0.0,67213.0,12.0,0.202,0.025,41.2,0.043,21.8,0.0,384.714,70.0,0.0,0.0459,0.0,3212.0,0.0,0.703,0.0,0.0,0.0,7.0,0.021
27288.0,0.0,0.081,0.0,1467.0,0.0,0.29100000000000004,0.0,3.6,0.0,0.0,0.0,0.0,14.055,1.753,11943.0,0.0,0.0,0.0,94501.0,27.0,0.284,0.036000000000000004,52.31,0.08199999999999999,20.5,0.0,583.571,97.0,0.0,0.0489,0.0,4679.0,0.0,4.407,0.0,0.0,0.0,10.714,0.032
39794.0,0.0,0.111,0.0,1833.0,0.0,0.403,0.0,3.64,0.0,0.0,0.0,0.0,19.561,2.459,17133.0,0.0,0.0,0.0,134295.0,37.0,0.403,0.051,55.09,0.12,20.9,0.0,818.571,134.0,0.0,0.0478,0.0,6512.0,0.0,5.506,0.0,0.0,0.0,15.143,0.045
